Safe POMDP Online Planning Via Shielding,"Shili Sheng, David Parker, Lu Feng","University of Virginia,University of Oxford",Planning under Uncertainty I,"Partially observable Markov decision processes (POMDPs) have been widely used in many robotic applications for sequential decision-making under uncertainty. POMDP online planning algorithms such as Partially Observable Monte-Carlo Planning (POMCP) can solve very large POMDPs with the goal of maximizing the expected return. But the resulting policies cannot provide safety guarantees which are imperative for real-world safety-critical tasks (e.g., autonomous driving). In this work, we consider safety requirements represented as almost-sure reach-avoid specifications (i.e., the probability to reach a set of goal states is one and the probability to reach a set of unsafe states is zero). We compute shields that restrict unsafe actions which would violate the almost-sure reach-avoid specifications. We then integrate these shields into the POMCP algorithm for safe POMDP online planning. We propose four distinct shielding methods, differing in how the shields are computed and integrated, including factored variants designed to improve scalability. Experimental results on a set of benchmark domains demonstrate that the proposed shielding methods successfully guarantee safety (unlike the baseline POMCP without shielding) on large POMDPs, with negligible impact on the runtime for online planning."
Generating Sparse Probabilistic Graphs for Efficient Planning in Uncertain Environments,"Yasmin Veys, Martina Stadler, Nicholas Roy",Massachusetts Institute of Technology,Planning under Uncertainty I,"Environments with regions of uncertain traversability can be modeled as roadmaps with probabilistic edges for efficient planning under uncertainty. We would like to generate roadmaps that enable planners to efficiently find paths with expected low costs through uncertain environments. The roadmap must be sparse so that the planning problem is tractable, but still contain edges that are likely to contribute to low-cost plans under various realizations of the environmental uncertainty. Determining the optimal set of edges to add to the roadmap without considering an exponential number of traversability scenarios is challenging. We propose the use of a heuristic that bounds the ratio between the expected path cost in our graph and the expected path cost in an optimal graph to determine whether a given edge should be added to the roadmap. We test our approach in several environments, demonstrating that our uncertainty-aware roadmaps effectively trade off between plan quality and planning efficiency for uncertainty-aware agents navigating in the graph."
"Magnetic Gear-Based Actuator: A Framework of Design, Optimization, and Disturbance Observer-Based Torque Control","Hangyeol Song, Edgar Lee, Hyung-tae Seo, Seokhwan Jeong","Sogang University,Kyonggi University,Mechanical Eng., Sogang University",Mechanism Design I,"This letter presents a design framework and novel control strategy for a compact coaxial magnetic-gear-based actuation module suitable for small-to-mid-sized mechanical and robotic applications. The proposed actuation module adopts a non-contact magnetic coupling mechanism to transmit rotational power with a predetermined gear ratio, in contrast to traditional mechanical gear-based transmissions. This approach offers several advantages such as enhanced backdrivability, hardware safety, and transparency when compared to conventional contact-based transmissions. Furthermore, the magnetic coupling effect provides a spring-like characteristic that can be utilized to implement a series elastic actuation enabling sensorless torque control. The design of the magnetic gear was optimized using a differential evolution method, and a dynamic model was formulated to specify its dynamic characteristics. Finally, a composite disturbance observer-based torque control algorithm was developed, which capitalizes on the features of the magnetic spring. The proposed control algorithm was validated through several experiments."
Johnsen-Rahbek Capstan Clutch: A High Torque Electrostatic Clutch,"Timothy Amish, Jeffrey Auletta, Chad C. Kessens, Joshua R. Smith, Jeffrey Lipton","University of Washington,US DEVCOM Army Research Laboratory,United States Army Research Laboratory,Northeastern University",Mechanism Design I,"In many robotic systems, the holding state con- sumes power, limits operating time, and increases operating costs. Electrostatic clutches have the potential to improve robotic performance by generating holding torques with low power consumption. A key limitation of electrostatic clutches has been their low specific shear stresses which restrict gen- erated holding torque, limiting many applications. Here we show how combining the Johnsen-Rahbek (JR) effect with the exponential tension scaling capstan effect can produce clutches with the highest specific shear stress in the literature. Our system generated 31.3 N/cm2 sheer stress and a total holding torque of 7.1 NÂ·m while consuming only 2.5 mW/cm2 at 500 V. We demonstrate a theoretical model of an electrostatic adhesive capstan clutch and demonstrate how large angle (Î¸ > 2Ï€) designs increase efficiency over planar or small angle (Î¸ < Ï€) clutch designs. We also report the first unfilled polymeric material, polybenzimidazole (PBI), to exhibit the JR-effect"
Research on Bionic Foldable Wing for Flapping Wing Micro Air Vehicle,"Shengjie Xiao, Kai Hu, Yuhong Sun, Yun Wang, Bo Qin, Huichao Deng, Xuan Wu, Xilun Ding","Beijing University of Aeronautics and Astronautics,Beihang University,Beihang university,China Nanhu Academy of Electronics and Information Technology,Beijing Univerisity of Aeronautics and Astronautics",Mechanism Design I,"This paper presents a bionic foldable wing that imitates the hind wing of ladybirds. Based on the folding mechanism of the hind wing of ladybirds and the theory of origami, the motion model of the bionic foldable wing is established, yield the motion law of the crease angles and the variation relationship between the panels are obtained. Bionic foldable wings utilise shape memory alloy to drive wings to fold, and embedded torsion springs to release energy to realize the function of wing unfolding. In the experiments of the vehicle equipped with foldable wings, the lift and attitude torque of bionic foldable wings are measured by the F/T sensor. The experimental results indicated that its aerodynamic performance is basically close to that of our optimized non-foldable wings. Moreover, the vehicle with foldable wings has been able to overcome gravity to achieve flight, which provides a novel concept for the research on flapping wing."
Magnetic Field-Driven Bristle-Bots,"Lukáš Supik, Kateřina Stránská, Miroslav Kulich, Libor Přeučil, Michael Somr, Karel Kosnar","Czech Technical University in Prague,Czech Institute of Informatics, Robotics and Cybernetics Czech T,Czech Technical University in Prague, CIIRC,Czech Technical University in Prague, Faculty of Civil Engineeri",Mechanism Design I,"Widespread applications for mobile robots are creating a large demand for developing new driving mechanisms that can handle diverse environments. Bristle-bot-like robot designs, mainly studied over the past decade, are based on vibration mechanisms built on flexible legs that enable motion on the ground. However, creating scalable and steerable bristle-bots remains a challenge. Here, we focus on developing a new kind of magnetically-driven bristle-bots with a wireless control and power supply that can be steered and downscaled. In experiments, we verified our concept with 3D-printed bristle-bot units equipped with body-embedded permanent magnets actuated via torque imposed by an external magnetic field. An AC-powered Helmholtz coil generated the bristle-botâ€™s driving field, providing 2D input control, field amplitude, and frequency. A variable number of legs on each side of a bristle-botâ€™s body was used to ensure that each side of the bristle-bot's body has a different frequency response. This asymmetry introduces steerability by a rich set of control commands: rotations with simultaneous forward and backward locomotion. We also observed and controlled a new side locomotion phenomenon not yet described in previous studies. The results presented were supported with data from numerous experiments and thorough statistical analysis, which indicated promising directions for future developments."
A Scalable Monolithic 3D Printable Variable Stiffness Mechanism,"Paul Baisamy, Adam A. Stokes, Francesco Giorgio-Serchi","The University of Edinburgh,University of Edinburgh",Mechanism Design I,"Variable Stiffness Mechanisms (VSM) are becoming ubiquitous in mechatronics given the benefit they provide in terms of safety and performance. Despite these assets, VSMs remain fairly complex mechanical devices lacking in compactness, ease of manufacturing and accessibility. In addition, the scarcity of commercially available VSMs requires that such systems are mostly designed in-house. We propose a new type of VSM that improves on the pre-existing Jack Spring concept by making it more compact and robust. The new concept, which we refer to as the Compact Modifier of Active Coils (C-MAC) mechanism, is specifically designed to be manufactured through a monolithic 3D print. This approach enables to modify a minimal set of design features, namely the spring diameter and the coil diameter, to achieve the desired range of stiffness variation. We test the proposed design on six configurations; these show hysteretic energy losses no larger than 35% over the stiffness variation and confirm stiffness to scale according to theory. Stiffness ranging from 0.15 N/mm to 1.02N /mm were measured for an overall device length of 140 mm, including a maximal stroke length of 22 mm. The results confirm excellent scalability and manufacturability of the proposed design, providing a versatile mechanism for fast prototyping."
Modular Growing Mechanism with Multi-Axis Deformation,"Dongdong Du, Emanuela Del Dottore, Alessio Mondini, Edoardo Sinibaldi, Barbara Mazzolai","Zhejiang University,Istituto Italiano di Tecnologia,Istituito Italiano di Tecnologia",Mechanism Design I,"Plant cells expand and elongate. Their cumulative actuation defines organ morphing. Inspired by this modular transformability, this study proposes a modular concept for growing robots that will be able to grow by adding at their tip Transformable Modules (TMs). We provide a two-module implementation to evaluate the concept viability. We designed and characterized Shape-Retention Bellows (SRBs) that constitute the TM and are used to maintain the shape once the extension force is relaxed. We demonstrate module radial expansion and axial elongation in a straight and bent configuration (up to âˆ¼4â—¦). This is the first concept of growing robots to enact the robotâ€™s modularity and Transferability for future deployment in distributed growing systems capable of acting in various scenarios."
Design and Experimental Characterisation of a Novel Quasi-Direct Drive Actuator for Highly Dynamic Robotic Applications,"Carlos Adrian Perez Diaz, Ignacio Muñoz Planelles, Luis Daniel Martin Hernandez, Carlos Andres Candelo Zuluaga, Iván Jesús Torres-rodríguez, Jordi Marsa, Daniel Sanz Merodio, Miguel López Estévez","Arquimea Research Center,Institut de Robòtica i Informàtica Industrial, CSIC-UPC,ARC",Mechanism Design I,"This paper presents the design and experimen- tal results of a proprioceptive, high-bandwidth quasi-direct drive (QDD) actuator for highly dynamic robotic applications. A comprehensive review of the mechanical design of the PULSE115-60 actuator is presented, with particular focus on the design parameters affecting the dynamic performance of the actuator and a full specification is provided. Fundamental parameters to describe the dynamic behaviour of an actuator are discussed, and an experimental method to determine speed and torque bandwidth of the actuator is presented. A rigorous method to determine backdrive torque is also explained. Finally, experimental results quantifying the dynamic performance of the PULSE115-60 actuator are discussed. The PULSE115-60 actuator has a highly dynamic response, surpassing the torque bandwidth at low torque amplitudes showcased in state-of- the-art literature. The differences between current and torque bandwidth, two concepts often conflated in literature, are elucidated. Experimental procedures detailed in previous work are discussed and a novel standardised procedure is proposed for robust characterisation and fair comparison of different actuation systems. Finally, performance results for PULSE115- 60 are presented, demonstrating a torque bandwidth of 66.3 Hz at an amplitude of 6 NÂ·m, Â±0.11â—¦ of backlash and 0.37 NÂ·m of backdrive torque."
Design and Evaluation of a Reconfigurable 7-DOF Upper Limb Rehabilitation Exoskeleton with Gravity Compensation,"Linliang Zheng, Qingcong Wu, Yanghui Zhu, Qiang Zhang",Nanjing University of Aeronautics and Astronautics,Mechanism Design I,"With the development of society, aging population and the number of stroke patients is increasing year by year. Rehabilitation exoskeleton can help patients to carry out rehabilitation training and improve their activities of daily living (ADL). First of all, a reconfigurable exoskeleton for upper limb rehabilitation is designed in this paper. The exoskeleton combines gravity compensation with left-right arm switching function through its reconfigurability. Secondly, the motion space and singular configuration of the exoskeleton are analyzed. By changing the working mode of the gravity compensation device, the control experiment of the motor is carried out. The influence of gravity compensation device on motor driving torque and energy consumption is analyzed. Finally, the results of experiment show that, in the best case, the gravity compensation device can reduce the energy consumption by 41.15% and the maximum motor current by 33.56% of the driving element."
Flexible Omnidirectional Driving Gear Mechanism with Adaptation Over Arbitrary Curvatures,"Moses Gladson Selvamuthu, Kazuki Abe, Kenjiro Tadakuma, Riichiro Tadakuma","Yamagata University,Tohoku University",Mechanism Design I,"A support structure for flexible displays such as OLED or flexible LEDs was developed using the flexible omnidirectional driving gear mechanism. It is a gear mechanism having two degrees of freedom on one surface. This flexible display mechanism is expected to be placed inside a car dashboard as a human interface and for workspace optimization. In this study, we propose a novel flexible omnidirectional driving gear for supporting flexible displays discussing its design, motion range, repeatability, positional accuracy, and adaptability to any guide surface through magnetic coupling. The experiments showed satisfactory results for positional accuracy and repeatability with adaptability over a wide range of curvatures."
Tactile Robot Programming: Transferring Task Constraints into Constraint-Based Unified Force-Impedance Control,"Kübra Karacan, Robin Kirschner, Hamid Sadeghian, Fan Wu, Sami Haddadin","Technical University of Munich,TU Munich, Institute for Robotics and Systems Intelligence",Formal Methods in Robotics and Automation I,"Flexible manufacturing lines are required to meet the demand for customized and small batch-size products. Even though state-of-the-art tactile robots may provide the versatility for increased adaptability and flexibility, their potential is yet to be fully exploited. To support robotics deployment in manufacturing, we propose a task-based tactile robot programming paradigm that uses an object-centric tactile skill definition that directly links identified object constraints of the task to the definition of constraint-based unified force-impedance control. In this study, we first explain the basic concept of abstracting the task constraints experienced by the object and transferring them to the robot's operational space frame. Second, using the object-centric tactile skill definition, we synthesize unified force-impedance control and formalized holonomic constraints to enable flexible task execution. Later, we propose the quantified analysis metrics for the process by analyzing them as a typical example of flexible manipulation disassembly skills, e.g., levering and unscrew-driving regarding their object requirements. Supported by realistic experimental evaluation using a Franka Emika robot, our tactile robot programming approach for the direct translation between task-level constraints and robot control parameter design is shown to be a viable solution for increased robotic deployment in flexible manufacturing lines."
